objectid,year,state,agency,fire_name,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,decades,shape__area,shape__length
1346,2023,CA,CDF,WINEMAN,2023-08-26,2023-08-26,7,1,1.0,1.682815,2020-2025,10172.0,386.1112356
1347,2023,CA,CCO,TRAIL,2023-07-26,2023-07-27,14,3,1.0,1.655345,2020-2025,9795.050781,785.6992822
1348,2023,CA,LRA,BROADWAY,2023-08-06,2023-08-08,14,1,1.0,1.601149,2020-2025,9430.558594,498.0321237
1349,2023,CA,CDF,BRIDGE,2023-11-12,2023-11-12,4,1,1.0,1.519355,2020-2025,9182.496094,512.6882161
1350,2023,CA,CDF,ESTRELLA,2023-06-10,2023-06-10,3,1,1.0,1.184759,2020-2025,7278.503906,386.2766137
1351,2023,CA,LRA,JARDINE,2023-06-03,2023-06-03,2,1,1.0,1.171606,2020-2025,7202.011719,343.1320916
1352,2023,CA,CDF,FRANKLIN,2023-12-16,2023-12-16,14,1,1.0,1.008626,2020-2025,6185.5,321.1371467
1353,2023,CA,CDF,CATTLE,2023-08-16,2023-08-16,9,1,1.0,0.8171355,2020-2025,4988.0,328.3602865
1354,2023,CA,CDF,BITTER,2023-08-31,2023-08-31,10,1,1.0,0.7515653,2020-2025,4612.0,318.676944
1355,2023,CA,CDF,HAZEL,2023-08-29,2023-08-29,15,1,1.0,0.46,2020-2025,3168.898438,219.2832881
1356,2023,CA,CDF,BEAR,2023-09-26,2023-09-26,4,1,1.0,0.3076231,2020-2025,1873.503906,190.5231008
1357,2023,CA,CDF,AIRPORT,2023-10-20,2023-10-20,10,1,1.0,0.14,2020-2025,1003.761719,123.1301504
1358,2023,CA,LRA,OAK,2023-07-25,2023-07-25,5,1,1.0,0.1144218,2020-2025,703.0,158.4008366
1359,2023,CA,CDF,PARK,2023-07-03,2023-07-03,10,1,1.0,0.06657419,2020-2025,414.765625,76.78781006
1360,2022,CA,USF,MOSQUITO,2022-09-06,2022-10-22,9,3,1.0,76771.45,2020-2025,515461760.6,273643.9508
1361,2022,CA,USF,MCKINNEY,2022-07-29,2022-11-11,14,3,1.0,60102.26,2020-2025,438181343.5,227045.4384
1362,2022,CA,USF,CAMPBELL,2022-08-05,2022-09-09,14,3,1.0,30132.85,2020-2025,213957954.3,118434.523
1363,2022,CA,CDF,FAIRVIEW,2022-09-06,2022-09-30,14,1,1.0,28097.87,2020-2025,164597174.5,150836.6122
1364,2022,CA,CDF,OAK,2022-07-22,2022-08-10,14,3,1.0,18957.5,2020-2025,122238621.2,119368.1831
1365,2022,CA,CDF,MOUNTAIN,2022-09-02,2022-10-02,14,7,1.0,13440.71,2020-2025,96936212.2,172408.5937
1366,2022,CA,USF,AMMON,2022-08-05,2022-09-06,14,3,1.0,11464.9,2020-2025,81126625.42,64551.65677
1367,2022,CA,NPS,RED,2022-08-04,2022-11-06,1,3,2.0,8432.419,2020-2025,54552181.01,125075.9173
1368,2022,CA,USF,YETI,2022-07-29,2022-09-03,14,3,1.0,7886.011,2020-2025,57542116.01,50192.01371
1369,2022,CA,BIA,LOST LAKE,2022-05-26,2022-06-05,14,7,,5856.573,2020-2025,34585556.43,41912.4241
1370,2022,CA,USF,BARNES,2022-09-07,2022-11-01,1,7,1.0,5840.575,2020-2025,42656929.67,64728.55605
1371,2022,CA,CCO,ROUTE,2022-08-31,2022-09-07,14,7,1.0,5227.923,2020-2025,31259236.46,32350.69603
1372,2022,CA,NPS,WASHBURN,2022-07-07,2022-09-30,7,3,1.0,4886.124,2020-2025,31490865.88,50856.30167
1373,2022,CA,CDF,ELECTRA,2022-07-04,2022-07-28,14,1,1.0,4466.222,2020-2025,29423771.02,46575.69401
1374,2022,CA,CDF,BORDER 32,2022-08-31,2022-09-05,14,3,1.0,4456.34,2020-2025,25487012.39,47412.19519
1375,2022,CA,CDF,AIRPORT,2022-02-16,2022-02-26,14,3,1.0,4140.06,2020-2025,26508134.59,85420.83522
1376,2022,CA,CDF,MILL,2022-09-02,2022-09-11,14,7,1.0,3939.382,2020-2025,28423375.54,85721.1758
1377,2022,CA,NPS,RODGERS,2022-08-08,2022-11-06,1,3,2.0,2839.684,2020-2025,18516447.26,68655.68615
1378,2022,CA,CCO,THUNDER,2022-06-22,2022-07-03,1,1,1.0,2465.185,2020-2025,14874572.52,30232.71006
1379,2022,CA,NPS,SUMMIT,2022-08-03,2022-10-19,1,7,2.0,1394.44,2020-2025,8711427.309,19421.35342
1380,2022,CA,USF,RADFORD ,2022-09-05,2022-11-09,9,7,1.0,1079.279,2020-2025,6402730.738,21766.99643
1381,2022,CA,CDF,RICES,2022-06-28,2022-07-13,15,1,1.0,920.9178,2020-2025,6236026.676,15716.38215
1382,2022,CA,USF,SHEEP,2022-06-12,2022-06-19,14,7,1.0,865.1371,2020-2025,5151012.949,15607.50968
1383,2022,CA,CDF,FORK,2022-09-07,2022-09-13,10,3,1.0,818.4309,2020-2025,5231771.578,19405.30326
1384,2022,CA,CDF,COLORADO,2022-01-21,2022-02-02,5,1,1.0,687.4208,2020-2025,4300944.367,19831.89901
1385,2022,CA,CCO,EDMONSTON,2022-05-19,2022-05-24,14,1,1.0,682.0379,2020-2025,4115353.555,17318.59444
1386,2022,CA,CDF,RANCHO,2022-06-13,2022-06-19,14,1,1.0,589.8671,2020-2025,4071594.289,13299.52201
1387,2022,CA,CDF,BORDER 13,2022-06-13,2022-06-17,7,7,1.0,568.2128,2020-2025,3247700.398,12881.07631
1388,2022,CA,USF,JIM,2022-03-02,2022-03-27,14,7,1.0,552.538,2020-2025,3239249.246,9079.280665
1389,2022,CA,CDF,TESLA,2022-06-23,2022-06-23,10,1,1.0,551.7821,2020-2025,3567673.48,9866.887445
1390,2022,CA,CCO,PLANT,2022-06-11,2022-06-14,14,1,1.0,484.856,2020-2025,2923932.063,11022.40439
1391,2022,CA,NPS,ELK TRAIL,2022-05-26,2022-05-31,7,1,1.0,414.1108,2020-2025,2448922.379,13620.16714
1392,2022,CA,CDF,AGUA,2022-07-18,2022-07-23,10,2,1.0,396.7744,2020-2025,2554645.453,15351.48625
1393,2022,CA,CDF,CAMINO,2022-06-28,2022-07-04,9,1,1.0,386.9821,2020-2025,2347357.547,12143.27696
1394,2022,CA,CDF,OLD,2022-05-31,2022-06-03,14,1,1.0,375.9125,2020-2025,2479537.953,9589.115079
1395,2022,CA,CDF,NELSON,2022-06-30,2022-06-30,14,1,1.0,371.4677,2020-2025,2530611.766,11361.9184
1396,2022,CA,CDF,ROMERO,2022-06-23,2022-06-24,14,1,1.0,344.1595,2020-2025,2192217.844,10630.91059
1397,2022,CA,USF,WISHON,2022-08-15,2022-08-29,14,3,1.0,317.8171,2020-2025,1977380.824,8514.472925
1398,2022,CA,CDF,BURROWS,2022-06-28,2022-06-29,18,2,1.0,309.4793,2020-2025,2120494.129,7454.125266
1399,2022,CA,CDF,PETER,2022-07-14,2022-07-20,15,1,1.0,303.67,2020-2025,2124521.297,10686.44023
1400,2022,CA,CDF,COYOTE,2022-09-07,2022-09-08,1,8,1.0,296.9517,2020-2025,2166330.891,7277.62161
1401,2022,CA,FWS,BECKWITH,2022-06-27,2022-07-02,14,4,1.0,274.1842,2020-2025,1775047.117,9225.810952
1402,2022,CA,BLM,MESA,2022-07-30,2022-07-31,14,7,1.0,222.0774,2020-2025,1361562.578,7592.535275
1403,2022,CA,CCO,RAIL,2022-08-14,2022-08-17,14,1,1.0,216.2137,2020-2025,1316079.09,7150.05377
1404,2022,CA,CCO,COASTAL,2022-05-05,2022-05-17,11,1,1.0,202.0908,2020-2025,1179813.867,9001.515234
1405,2022,CA,USF,VALLEY,2022-08-22,2022-09-10,14,7,1.0,188.4808,2020-2025,1084171.211,7241.365293
1406,2022,CA,FWS,CA-WSF-22000274 GRAYSON,2022-04-10,2022-04-10,4,4,1.0,182.0349,2020-2025,1174468.09,7407.263058
1407,2022,CA,CDF,CASNER,2022-09-27,2022-09-29,2,3,1.0,178.2691,2020-2025,1030379.66,5348.079756
1408,2022,CA,USF,GRAHAM,2022-06-10,2022-06-17,14,7,1.0,177.4989,2020-2025,1227295.227,10425.40437
1409,2022,CA,CDF,FLYNN,2022-07-19,2022-07-19,10,1,1.0,173.7565,2020-2025,1125771.41,5923.650081
1410,2022,CA,CDF,PORTER,2022-07-09,2022-07-12,2,1,1.0,166.603,2020-2025,1118576.891,6024.870103
1411,2022,CA,CDF,FORWARD,2022-09-09,2022-09-22,10,3,1.0,159.9855,2020-2025,1118952.523,6372.68329
1412,2022,CA,CDF,HOUSE,2022-05-11,2022-05-15,2,1,1.0,159.2148,2020-2025,1011659.813,6335.680786
1413,2022,CA,CCO,EMERALD,2022-02-10,2022-02-19,14,1,1.0,154.6207,2020-2025,903499.582,6738.435667
1414,2022,CA,USF,ALEX,2022-07-31,2022-08-03,14,3,1.0,150.4035,2020-2025,1100802.367,6500.414625
1415,2022,CA,USF,EAST,2022-08-25,2022-09-11,14,3,1.0,147.6624,2020-2025,876444.6484,5256.763708
1416,2022,CA,CDF,GARRISON,2022-07-03,2022-07-05,11,2,1.0,147.4871,2020-2025,909506.6797,7024.205124
1417,2022,CA,LRA,UNION,2022-06-25,2022-06-29,5,6,1.0,144.8669,2020-2025,854548.582,5107.016653
1418,2022,CA,CDF,TULARE,2022-07-25,2022-07-25,10,4,1.0,134.4698,2020-2025,929037.6367,5645.738468
1419,2022,CA,CDF,POWER,2022-09-06,2022-09-06,10,1,1.0,133.7536,2020-2025,853166.168,3885.721859
1420,2022,CA,CDF,FLYNN,2022-05-15,2022-05-15,14,1,1.0,131.9128,2020-2025,854787.0156,7418.304907
1421,2022,CA,CDF,DONICA,2022-07-16,2022-07-18,10,1,1.0,129.1635,2020-2025,927202.0742,8290.924669
1422,2022,CA,CDF,MARMOT,2022-08-02,2022-08-08,14,3,1.0,126.6029,2020-2025,791809.6055,4416.464162
1423,2022,CA,CCO,SAM,2022-08-10,2022-08-11,14,7,1.0,125.3294,2020-2025,753342.0352,6504.561262
1424,2022,CA,CDF,HOLLISTER,2022-03-12,2022-03-17,7,1,1.0,123.7686,2020-2025,739058.9102,6803.878409
1425,2022,CA,CDF,WALKER,2022-09-01,2022-09-16,10,4,1.0,123.3361,2020-2025,836150.6836,6584.836915
1426,2022,CA,CDF,SCENIC,2022-06-23,2022-06-23,10,1,1.0,120.4983,2020-2025,787655.0273,5501.801024
1427,2022,CA,CDF,GULCH,2022-03-12,2022-03-14,14,5,1.0,113.4316,2020-2025,828753.0586,5989.006526
1428,2022,CA,USF,GULCH,2022-08-29,2022-09-11,14,7,1.0,113.4179,2020-2025,672409.1328,6612.418107
1429,2022,CA,CCO,REDWOOD,2022-06-27,2022-06-27,10,1,1.0,106.1611,2020-2025,696131.4766,6834.61901
1430,2022,CA,CDF,ANZAR,2022-07-21,2022-07-27,11,7,1.0,101.0951,2020-2025,640836.1172,13104.56593
1431,2022,CA,FWS,RIVER,2022-10-25,2022-10-25,4,7,1.0,98.25912,2020-2025,634321.2656,6145.23828
1432,2022,CA,CDF,BORDER 27,2022-07-17,2022-07-18,14,7,1.0,98.14726,2020-2025,561288.5234,5446.467188
1433,2022,CA,CDF,HESPERIA,2022-06-06,2022-06-09,2,3,1.0,96.88597,2020-2025,576094.7461,3879.872197
1434,2022,CA,CCO,RANGE,2022-06-03,2022-06-03,14,1,1.0,93.07888,2020-2025,565339.0234,2945.454839
1435,2022,CA,CDF,HIGHLAND,2022-05-23,2022-05-23,9,1,1.0,91.53281,2020-2025,593837.0391,3718.124846
1436,2022,CA,CDF,BENITO,2022-09-14,2022-09-15,14,7,1.0,89.9549,2020-2025,570010.4414,3390.522823
1437,2022,CA,USF,BRONCO,2022-08-17,2022-08-22,9,7,1.0,89.57446,2020-2025,531916.1836,3281.964947
1438,2022,CA,CDF,FLANAGAN,2022-03-04,2022-03-04,5,1,1.0,88.68606,2020-2025,624491.6016,3514.156231
1439,2022,CA,CDF,KIRKER,2022-06-24,2022-06-24,10,1,1.0,84.79446,2020-2025,553173.5078,5517.331407
1440,2022,CA,USF,KELSEY,2022-07-31,2022-08-24,14,7,1.0,84.64411,2020-2025,613775.1445,6689.77218
1441,2022,CA,CDF,WINDING,2022-07-18,2022-07-29,11,1,1.0,81.7844,2020-2025,553723.7578,5069.476112
1442,2022,CA,LRA,KING,2022-05-25,2022-05-26,7,7,1.0,79.60818,2020-2025,495721.832,6666.30071
1443,2022,CA,USF,HOWARD 2,2022-10-08,2022-10-10,9,2,1.0,74.61489,2020-2025,446285.1367,3865.438638
1444,2022,CA,CDF,GRANT,2022-07-14,2022-07-14,7,1,1.0,73.11472,2020-2025,484595.4922,3724.181695
1445,2022,CA,CDF,BRANDIE,2022-06-11,2022-06-19,2,1,1.0,71.87849,2020-2025,486724.832,3673.674678
1446,2022,CA,BLM,R-1 PIT,2022-07-31,2022-08-01,1,1,1.0,67.82058,2020-2025,473943.6016,3100.414133
1447,2022,CA,CDF,RAINBOW,2022-07-16,2022-07-23,7,1,1.0,66.32885,2020-2025,458162.7227,4725.083161
1448,2022,CA,CDF,NINETY-NINE,2022-06-22,2022-06-22,14,1,1.0,65.67123,2020-2025,445400.7617,4658.834524
1449,2022,CA,CDF,PASS,2022-05-18,2022-05-18,10,1,1.0,65.37904,2020-2025,423776.0195,3956.833327
1450,2022,CA,CDF,SLATE 2,2022-07-21,2022-07-21,6,1,1.0,63.70885,2020-2025,415112.9766,3527.718199
1451,2022,CA,CDF,ROBLAR,2022-06-27,2022-06-27,2,1,1.0,63.26585,2020-2025,416540.9336,2972.318543
1452,2022,CA,CDF,MEAMBER,2022-07-31,2022-08-01,1,1,1.0,62.63028,2020-2025,454616.75,4135.152694
1453,2022,CA,CCO,RANCH,2022-09-04,2022-09-05,14,1,1.0,62.03226,2020-2025,374423.9883,3613.005407
1454,2022,CA,CCO,QUAIL,2022-08-17,2022-08-18,14,7,1.0,60.45229,2020-2025,360946.043,4126.222301
1455,2022,CA,CDF,NELSON,2022-10-05,2022-10-05,2,1,1.0,60.11403,2020-2025,409988.5234,2653.027106
1456,2022,CA,FWS,POINT,2022-07-27,2022-07-27,10,4,1.0,58.67502,2020-2025,384496.4297,3468.328584
1457,2022,CA,CDF,EDEN,2022-08-15,2022-08-15,10,2,1.0,58.31763,2020-2025,377637.9453,4374.40493
1458,2022,CA,CDF,WINEMAN,2022-06-19,2022-06-19,7,1,1.0,56.78185,2020-2025,343231.582,3863.333754
1459,2022,CA,CDF,PARK,2022-07-09,2022-07-09,14,1,1.0,56.33854,2020-2025,382113.2891,3266.07796
1460,2022,CA,CDF,SHERIDAN,2022-06-24,2022-06-25,10,1,1.0,55.71469,2020-2025,373586.8047,4665.131684
1461,2022,CA,CDF,PEBBLE,2022-07-31,2022-08-03,15,1,1.0,54.41259,2020-2025,342989.6445,3417.401053
1462,2022,CA,CDF,TABLE,2022-07-01,2022-07-04,14,1,1.0,51.97977,2020-2025,330505.6836,4906.942873
1463,2022,CA,CDF,BULL,2022-05-24,2022-05-25,2,1,1.0,50.92991,2020-2025,307818.2461,2364.374839
1464,2022,CA,CCO,COMANCHE,2022-04-27,2022-04-27,14,1,1.0,50.66179,2020-2025,307306.0078,3433.747887
1465,2022,CA,CDF,CANYON,2022-06-23,2022-06-23,9,2,1.0,50.373,2020-2025,325599.0,2557.140821
1466,2022,CA,CDF,FRANKLIN,2022-09-05,2022-09-05,10,1,1.0,50.12971,2020-2025,327300.6328,4258.303123
1467,2022,CA,CDF,OWL,2022-08-20,2022-08-31,10,1,1.0,49.95041,2020-2025,337873.4922,2685.552882
1468,2022,CA,CDF,EAGLE,2022-06-06,2022-06-06,14,1,1.0,49.81456,2020-2025,306423.2656,2713.005924
1469,2022,CA,CDF,PLEASANT,2022-10-23,2022-10-24,10,3,1.0,49.56956,2020-2025,318312.8359,2329.832843
1470,2022,CA,CDF,BARRETT 4,2022-06-12,2022-06-16,7,1,1.0,49.2244,2020-2025,281441.6641,4428.45636
1471,2022,CA,USF,BOUQUET,2022-05-30,2022-06-05,14,7,1.0,48.40139,2020-2025,289601.8867,3688.368817
1472,2022,CA,USF,MCGINTY,2022-08-04,2022-08-07,1,7,1.0,48.1479,2020-2025,351251.4805,2750.559663
1473,2022,CA,CDF,CAESAR,2022-09-05,2022-09-05,10,1,1.0,47.70462,2020-2025,275637.6563,3112.514598
1474,2022,CA,CDF,BETABEL ,2022-06-14,2022-06-14,10,1,1.0,47.00494,2020-2025,298057.3555,3441.46735
1475,2022,CA,CDF,STILL,2022-08-27,2022-09-03,2,1,1.0,43.21048,2020-2025,290414.6602,2743.556996
1476,2022,CA,CDF,BELL,2022-07-17,2022-07-19,2,1,1.0,42.91696,2020-2025,295281.668,2944.754508
1477,2022,CA,CDF,WATT,2022-10-15,2022-10-21,11,1,1.0,42.42685,2020-2025,282640.8086,2502.249925
1478,2022,CA,CDF,APPLE,2022-07-27,2022-08-02,11,7,1.0,41.09785,2020-2025,278075.3555,2694.361499
1479,2022,CA,CDF,BARRY,2022-09-06,2022-09-06,9,1,1.0,40.30602,2020-2025,263157.0547,2493.864244
1480,2022,CA,CDF,BLOOMFIELD,2022-03-02,2022-03-02,18,2,1.0,39.55224,2020-2025,268347.4883,2844.621783
1481,2022,CA,CDF,PASS,2022-07-29,2022-07-29,14,1,1.0,38.44807,2020-2025,249253.9688,3222.695362
1482,2022,CA,CDF,AIRPORT,2022-07-30,2022-07-30,14,1,1.0,38.26443,2020-2025,256147.1289,2141.957256
1483,2022,CA,CDF,BIANCHI,2022-06-10,2022-06-10,2,1,1.0,38.15456,2020-2025,238912.1406,2354.748348
1484,2022,CA,CDF,RIOSA,2022-07-17,2022-07-17,3,1,1.0,37.56129,2020-2025,251954.5781,2741.030402
1485,2022,CA,CDF,LOPER,2022-05-15,2022-05-16,14,1,1.0,36.92672,2020-2025,234613.7344,3184.065032
1486,2022,CA,USF,WILLOW,2022-08-04,2022-08-07,1,1,1.0,35.42039,2020-2025,258266.1836,2371.880022
1487,2022,CA,CDF,SANDRA,2022-06-30,2022-06-30,2,1,1.0,34.40428,2020-2025,234031.7852,2578.061874
1488,2022,CA,CDF,OWENS,2022-05-20,2022-05-20,9,1,1.0,34.01559,2020-2025,227421.6797,2672.050103
1489,2022,CA,CDF,BRANSTETTER,2022-08-31,2022-08-31,4,3,1.0,33.77932,2020-2025,236878.1211,2275.391586
1490,2022,CA,USF,SMOKEY,2022-08-04,2022-08-09,14,6,1.0,33.67451,2020-2025,246744.8672,2102.001066
1491,2022,CA,CDF,NELSON,2022-09-10,2022-09-10,14,1,1.0,33.07443,2020-2025,225256.7969,2644.58777
1492,2022,CA,CCO,KERTO,2022-06-10,2022-06-11,14,1,1.0,31.69387,2020-2025,191845.5,2258.589367
1493,2022,CA,USF,NAVAJO,2022-05-08,2022-05-18,9,6,1.0,31.54411,2020-2025,192452.0156,2313.230186
1494,2022,CA,USF,BARNEY,2022-03-11,2022-04-14,9,6,1.0,31.46449,2020-2025,222635.1836,2544.922115
1495,2022,CA,CDF,SHACKLEFORD,2022-07-30,2022-07-31,1,3,1.0,30.94669,2020-2025,223937.0352,2285.868757
1496,2022,CA,CDF,JAN-DAR,2022-07-04,2022-07-04,14,1,1.0,30.50697,2020-2025,207210.3867,2297.12397
1497,2022,CA,CDF,BAYBERRY,2022-07-08,2022-07-18,7,1,1.0,30.11021,2020-2025,203762.5938,1938.865707
1498,2022,CA,BLM,ALPAUGH 2,2022-05-12,2022-05-13,14,7,1.0,30.102,2020-2025,185926.8125,1953.969122
1499,2022,CA,CDF,97,2022-09-27,2022-09-29,14,5,1.0,30.08391,2020-2025,217193.1367,3259.880984
1500,2022,CA,CDF,DENIZ,2022-05-24,2022-05-24,14,1,1.0,29.84678,2020-2025,202389.0859,2631.420753
1501,2022,CA,USF,CASUSE ,2022-07-03,2022-07-04,14,7,1.0,29.26842,2020-2025,213615.5508,2567.564562
1502,2022,CA,CDF,SANDIA,2022-09-04,2022-09-05,10,7,1.0,29.23103,2020-2025,170310.2813,2267.32641
1503,2022,CA,CDF,JEWEL,2022-05-14,2022-05-15,2,6,1.0,29.14392,2020-2025,166683.2969,1567.189145
1504,2022,CA,CDF,NELDA,2022-06-06,2022-06-06,14,1,1.0,28.99773,2020-2025,190812.3828,2156.19923
1505,2022,CA,CDF,BORDER 15,2022-06-20,2022-06-21,14,6,1.0,28.94558,2020-2025,165392.6836,2603.147485
1506,2022,CA,NPS,AVALANCHE,2022-07-18,2022-11-10,1,7,2.0,28.92503,2020-2025,182801.7852,1769.039533
1507,2022,CA,CDF,TOWER,2022-06-03,2022-06-03,7,1,1.0,28.68488,2020-2025,185603.0039,2034.754555
1508,2022,CA,CDF,WILLOW,2022-05-20,2022-05-20,2,1,1.0,28.56241,2020-2025,186536.043,2205.787831
1509,2022,CA,CDF,MCCOVEY,2022-08-29,2022-09-04,14,2,1.0,28.42003,2020-2025,204958.1563,2548.34874
1510,2022,CA,CDF,GARDEN BAR,2022-09-17,2022-09-19,7,1,1.0,28.27837,2020-2025,189716.8047,2141.875731
1511,2022,CA,CDF,HIGHWAY,2022-07-29,2022-07-31,7,2,1.0,28.10259,2020-2025,167094.9336,3772.209162
1512,2022,CA,CDF,VALE,2022-10-08,2022-10-08,2,1,1.0,27.99138,2020-2025,190517.1914,1766.291239
1513,2022,CA,FWS,SANDY,2022-09-09,2022-09-09,10,1,1.0,27.54214,2020-2025,175909.3086,4353.809851
1514,2022,CA,USF,MANZANITA,2022-09-23,2022-09-30,9,6,1.0,26.86633,2020-2025,159238.7188,2297.421281
1515,2022,CA,CDF,HARBISON 2,2022-07-12,2022-07-13,2,1,1.0,26.85744,2020-2025,154247.9844,2151.52291
1516,2022,CA,CDF,DUTCH,2022-09-13,2022-09-19,14,1,1.0,26.78517,2020-2025,180704.625,3557.205389
1517,2022,CA,CDF,LATROBE,2022-05-31,2022-05-31,2,1,1.0,26.74845,2020-2025,177734.0313,1948.665299
1518,2022,CA,USF,CACTUS ,2022-04-30,2022-05-08,9,6,1.0,26.48567,2020-2025,157403.8242,3050.365265
1519,2022,CA,CDF,RANCH,2022-08-29,2022-09-04,14,2,1.0,26.31805,2020-2025,189830.9336,2197.942426
1520,2022,CA,NPS,ASPEN,2022-09-04,2022-09-30,7,3,1.0,25.89259,2020-2025,168280.9219,2220.347686
1521,2022,CA,CDF,HAUSER,2022-09-17,2022-09-18,14,7,1.0,25.70823,2020-2025,147205.8867,2607.343855
1522,2022,CA,LRA,SYCAMORE,2022-07-22,2022-07-22,14,1,1.0,25.54512,2020-2025,155157.9414,2166.465262
1523,2022,CA,CDF,TEFT,2022-07-15,2022-07-17,10,1,1.0,25.53244,2020-2025,154433.9414,3046.942065
1524,2022,CA,CDF,BORDER 16,2022-06-21,2022-06-22,7,7,1.0,25.22921,2020-2025,144154.8281,3275.603419
1525,2022,CA,FWS,WOLFSEN,2022-07-08,2022-07-08,10,4,1.0,25.11741,2020-2025,160568.8867,2880.666589
1526,2022,CA,BIA,ALL AMERICAN,2022-07-05,2022-07-09,14,7,1.0,25.00471,2020-2025,143667.2344,5321.6111
1527,2022,CA,CDF,SLOUGH,2022-07-21,2022-07-21,14,1,1.0,24.96124,2020-2025,180436.1563,2136.415283
1528,2022,CA,NPS,SNOW,2022-06-17,2022-07-02,4,7,1.0,24.0517,2020-2025,156038.6953,4109.080735
1529,2022,CA,CDF,OAK,2022-08-15,2022-09-15,10,1,1.0,24.02003,2020-2025,161420.1563,2745.587313
1530,2022,CA,CDF,WOODS,2022-09-01,2022-09-03,14,1,1.0,22.1701,2020-2025,144602.8711,2503.238192
1531,2022,CA,BLM,MORGAN,2022-07-12,2022-07-12,14,7,1.0,22.02058,2020-2025,154059.0391,3028.679938
1532,2022,CA,CDF,SPENCEVILLE,2022-07-27,2022-07-31,9,1,1.0,21.81922,2020-2025,146961.2734,1658.177958
1533,2022,CA,CCO,TULE,2022-07-06,2022-07-06,14,1,1.0,21.6859,2020-2025,133192.9883,1691.654364
1534,2022,CA,CCO,JACK,2022-06-23,2022-06-25,1,1,1.0,21.38803,2020-2025,131757.5117,1703.882893
1535,2022,CA,CDF,SYLVANDALE,2022-10-20,2022-10-20,14,1,1.0,21.17796,2020-2025,146996.1719,2062.324927
1536,2022,CA,FWS,SIXTY,2022-07-30,2022-07-30,18,1,1.0,21.09291,2020-2025,143312.8516,2580.42886
1537,2022,CA,CDF,POWER,2022-10-23,2022-10-26,11,1,1.0,21.0131,2020-2025,138458.4414,2004.585246
1538,2022,CA,CDF,COBBLE,2022-04-26,2022-04-26,2,1,1.0,20.61224,2020-2025,130226.6445,1485.340971
1539,2022,CA,CDF,EDGEWOOD,2022-06-21,2022-06-22,11,1,1.0,20.54839,2020-2025,132200.9922,2399.998391
1540,2022,CA,USF,GOLDEN,2022-05-20,2022-05-31,9,6,1.0,19.4423,2020-2025,132051.1719,3044.250059
1541,2022,CA,CCO,GRAPE,2022-06-10,2022-06-11,14,1,1.0,19.35185,2020-2025,116664.0273,1993.370104
1542,2022,CA,USF,ELIZA,2022-09-09,2022-09-16,14,6,1.0,19.21475,2020-2025,139965.5,2655.263486
1543,2022,CA,CDF,CAMINO,2022-08-03,2022-08-03,14,1,1.0,19.18303,2020-2025,124655.8633,2921.786172
1544,2022,CA,CDF,MIRABELLE,2022-06-27,2022-06-28,15,1,1.0,18.67016,2020-2025,124351.707,1571.063239
1545,2022,CA,CDF,LONESTAR,2022-07-13,2022-07-13,14,6,1.0,18.62858,2020-2025,106465.8711,1370.495512
1546,2022,CA,CDF,ALPINE,2022-03-01,2022-03-01,7,1,1.0,18.43938,2020-2025,121889.8281,1543.84472
1547,2022,CA,CDF,EVITA,2022-05-18,2022-05-18,14,1,1.0,17.2802,2020-2025,117280.0078,1511.598992
1548,2022,CA,CDF,CANYON,2022-06-17,2022-06-17,7,5,1.0,17.27645,2020-2025,104430.3242,1692.943052
1549,2022,CA,CDF,CANYON,2022-09-04,2022-09-05,14,1,1.0,17.09855,2020-2025,118595.9805,1704.679967
1550,2022,CA,CDF,NISEMAN,2022-06-18,2022-06-21,2,1,1.0,17.06631,2020-2025,114730.8164,1556.536947
1551,2022,CA,CDF,BORDER 19,2022-06-24,2022-06-26,7,7,1.0,16.96958,2020-2025,97005.76563,1737.714248
1552,2022,CA,CDF,PINECREST,2022-06-23,2022-06-23,2,1,1.0,16.90405,2020-2025,114914.6133,1387.755933
1553,2022,CA,CDF,COAL,2022-08-07,2022-08-07,7,1,1.0,16.74895,2020-2025,110123.5234,1747.652861
1554,2022,CA,CDF,NOME,2022-07-05,2022-07-05,9,1,1.0,16.68011,2020-2025,114579.2891,2118.489174
1555,2022,CA,CDF,MEADOW,2022-07-19,2022-07-19,2,1,1.0,16.55005,2020-2025,111257.6406,2095.723681
1556,2022,CA,CDF,LOPEZ,2022-06-06,2022-06-10,9,1,1.0,16.42301,2020-2025,99875.13281,2598.685632
1557,2022,CA,CDF,CANYON,2022-06-13,2022-06-13,9,1,1.0,16.40938,2020-2025,105358.9063,2236.602945
1558,2022,CA,CDF,ROSA,2022-09-06,2022-09-06,9,1,1.0,16.23023,2020-2025,99537.95703,1724.073387
1559,2022,CA,CDF,NADER,2022-09-17,2022-09-19,10,1,1.0,16.17019,2020-2025,108377.0859,2655.552401
1560,2022,CA,CCO,BEAR,2022-06-01,2022-06-02,10,1,1.0,15.95058,2020-2025,97034.98438,1353.277972
1561,2022,CA,CDF,BIGGS,2022-08-04,2022-08-04,2,1,1.0,15.77412,2020-2025,107102.1133,1596.770634
1562,2022,CA,USF,PAYMASTER,2022-03-08,2022-03-11,9,6,1.0,15.13918,2020-2025,101535.4102,2051.839487
1563,2022,CA,CDF,SUEY,2022-05-22,2022-05-24,2,5,1.0,15.09703,2020-2025,91316.41797,1537.392898
